"","red","green","blue","alpha"
"white",1,1,1,1
"aliceblue",0.941176470588235,0.972549019607843,1,1
"antiquewhite",0.980392156862745,0.92156862745098,0.843137254901961,1
"antiquewhite1",1,0.937254901960784,0.858823529411765,1
"antiquewhite2",0.933333333333333,0.874509803921569,0.8,1
"antiquewhite3",0.803921568627451,0.752941176470588,0.690196078431373,1
"antiquewhite4",0.545098039215686,0.513725490196078,0.470588235294118,1
"aquamarine",0.498039215686275,1,0.831372549019608,1
"aquamarine1",0.498039215686275,1,0.831372549019608,1
"aquamarine2",0.462745098039216,0.933333333333333,0.776470588235294,1
"aquamarine3",0.4,0.803921568627451,0.666666666666667,1
"aquamarine4",0.270588235294118,0.545098039215686,0.454901960784314,1
"azure",0.941176470588235,1,1,1
"azure1",0.941176470588235,1,1,1
"azure2",0.87843137254902,0.933333333333333,0.933333333333333,1
"azure3",0.756862745098039,0.803921568627451,0.803921568627451,1
"azure4",0.513725490196078,0.545098039215686,0.545098039215686,1
"beige",0.96078431372549,0.96078431372549,0.862745098039216,1
"bisque",1,0.894117647058824,0.768627450980392,1
"bisque1",1,0.894117647058824,0.768627450980392,1
"bisque2",0.933333333333333,0.835294117647059,0.717647058823529,1
"bisque3",0.803921568627451,0.717647058823529,0.619607843137255,1
"bisque4",0.545098039215686,0.490196078431373,0.419607843137255,1
"black",0,0,0,1
"blanchedalmond",1,0.92156862745098,0.803921568627451,1
"blue",0,0,1,1
"blue1",0,0,1,1
"blue2",0,0,0.933333333333333,1
"blue3",0,0,0.803921568627451,1
"blue4",0,0,0.545098039215686,1
"blueviolet",0.541176470588235,0.168627450980392,0.886274509803922,1
"brown",0.647058823529412,0.164705882352941,0.164705882352941,1
"brown1",1,0.250980392156863,0.250980392156863,1
"brown2",0.933333333333333,0.231372549019608,0.231372549019608,1
"brown3",0.803921568627451,0.2,0.2,1
"brown4",0.545098039215686,0.137254901960784,0.137254901960784,1
"burlywood",0.870588235294118,0.72156862745098,0.529411764705882,1
"burlywood1",1,0.827450980392157,0.607843137254902,1
"burlywood2",0.933333333333333,0.772549019607843,0.568627450980392,1
"burlywood3",0.803921568627451,0.666666666666667,0.490196078431373,1
"burlywood4",0.545098039215686,0.450980392156863,0.333333333333333,1
"cadetblue",0.372549019607843,0.619607843137255,0.627450980392157,1
"cadetblue1",0.596078431372549,0.96078431372549,1,1
"cadetblue2",0.556862745098039,0.898039215686275,0.933333333333333,1
"cadetblue3",0.47843137254902,0.772549019607843,0.803921568627451,1
"cadetblue4",0.325490196078431,0.525490196078431,0.545098039215686,1
"chartreuse",0.498039215686275,1,0,1
"chartreuse1",0.498039215686275,1,0,1
"chartreuse2",0.462745098039216,0.933333333333333,0,1
"chartreuse3",0.4,0.803921568627451,0,1
"chartreuse4",0.270588235294118,0.545098039215686,0,1
"chocolate",0.823529411764706,0.411764705882353,0.117647058823529,1
"chocolate1",1,0.498039215686275,0.141176470588235,1
"chocolate2",0.933333333333333,0.462745098039216,0.129411764705882,1
"chocolate3",0.803921568627451,0.4,0.113725490196078,1
"chocolate4",0.545098039215686,0.270588235294118,0.0745098039215686,1
"coral",1,0.498039215686275,0.313725490196078,1
"coral1",1,0.447058823529412,0.337254901960784,1
"coral2",0.933333333333333,0.415686274509804,0.313725490196078,1
"coral3",0.803921568627451,0.356862745098039,0.270588235294118,1
"coral4",0.545098039215686,0.243137254901961,0.184313725490196,1
"cornflowerblue",0.392156862745098,0.584313725490196,0.929411764705882,1
"cornsilk",1,0.972549019607843,0.862745098039216,1
"cornsilk1",1,0.972549019607843,0.862745098039216,1
"cornsilk2",0.933333333333333,0.909803921568627,0.803921568627451,1
"cornsilk3",0.803921568627451,0.784313725490196,0.694117647058824,1
"cornsilk4",0.545098039215686,0.533333333333333,0.470588235294118,1
"cyan",0,1,1,1
"cyan1",0,1,1,1
"cyan2",0,0.933333333333333,0.933333333333333,1
"cyan3",0,0.803921568627451,0.803921568627451,1
"cyan4",0,0.545098039215686,0.545098039215686,1
"darkblue",0,0,0.545098039215686,1
"darkcyan",0,0.545098039215686,0.545098039215686,1
"darkgoldenrod",0.72156862745098,0.525490196078431,0.0431372549019608,1
"darkgoldenrod1",1,0.725490196078431,0.0588235294117647,1
"darkgoldenrod2",0.933333333333333,0.67843137254902,0.0549019607843137,1
"darkgoldenrod3",0.803921568627451,0.584313725490196,0.0470588235294118,1
"darkgoldenrod4",0.545098039215686,0.396078431372549,0.0313725490196078,1
"darkgray",0.662745098039216,0.662745098039216,0.662745098039216,1
"darkgreen",0,0.392156862745098,0,1
"darkgrey",0.662745098039216,0.662745098039216,0.662745098039216,1
"darkkhaki",0.741176470588235,0.717647058823529,0.419607843137255,1
"darkmagenta",0.545098039215686,0,0.545098039215686,1
"darkolivegreen",0.333333333333333,0.419607843137255,0.184313725490196,1
"darkolivegreen1",0.792156862745098,1,0.43921568627451,1
"darkolivegreen2",0.737254901960784,0.933333333333333,0.407843137254902,1
"darkolivegreen3",0.635294117647059,0.803921568627451,0.352941176470588,1
"darkolivegreen4",0.431372549019608,0.545098039215686,0.23921568627451,1
"darkorange",1,0.549019607843137,0,1
"darkorange1",1,0.498039215686275,0,1
"darkorange2",0.933333333333333,0.462745098039216,0,1
"darkorange3",0.803921568627451,0.4,0,1
